,Abstract,questions,AMES
202,"In the previous study (Mutation Res., this issue), we showed that increased levels of dietary casein as the sole protein source for male F344 rats decreased the ability of the uninduced liver S9s to activate 2-aminoanthracene (2AN) to a mutagen in strain TA98 using the spiral Salmonella mutagenicity assay. No effects of dietary casein levels were noted for the ability of uninduced liver S9s to activate the promutagens aflatoxin B1 (AFB) and benzo[a]pyrene (BAP). In the present study, we have extended this study to include liver S9s induced with either Aroclor 1254, phenobarbital or 3-methylcholanthrene (3MC). S9s were derived from individual male F344 rats fed for 6 weeks on semisynthetic diets containing 8%, 12% or 22% methionine-supplemented casein as the sole source of protein (diets were made isocaloric by adjusting the corn starch content). Rats were housed in large, raised-bed cages by groups of three/diet/inducing agent. S9 activation mixtures were prepared at 5 mg of S9 protein/ml of S9 mix. Slopes from the linear portions of the mutagenicity dose-response curves were analyzed by ANOVA comparisons. Assays used to elucidate the phase I activities of microsomal preparations were cytochrome P-450 content, cytochrome-c reductase activity, flavin-containing monooxygenase activity, 7-ethoxyresorufin O-deethylation (EROD) activity, N-demethylation of benzphetamine, and para-nitrophenol O-deethylation. Phase II activities were assayed by estimating glutathione (GSH) content and measuring the metabolism of 1-chloro-2,4-dinitrobenzene (CDNB) by glutathione S-transferase in cytosolic preparations. None of the phase I or phase II endpoints were significantly affected by dietary casein levels. In general, increasing levels of dietary casein resulted in increased body and liver wet weight and amount of S9 protein. Aroclor-induced S9s from rats fed the 22% or 12% casein diet were most effective at activating AFB, depending on the lot of Aroclor used for induction; these divergent results were replicated with two groups of rats for each lot of Aroclor. The observed differences between Aroclor lots are assumed to arise from variation in the mix of PCB isomers. The Aroclor-induced S9s did not exhibit any casein-related effects for the activation of BAP or 2AN. For 3MC-induced S9s, the 12% casein diets produced S9s with the highest ability to activate AFB and BAP when standardized for protein content. Phenobarbital-induced S9s did not demonstrate any dietary casein-related effects on the activation of the three model promutagens. These results illustrate the complex interaction between dietary levels of casein, enzyme inducing agent and promutagen.",Is 2-aminoanthracene mutagenic for TA98 strain?,True
203,"A series of naturally occurring compounds were tested for the ability to modulate the mutagenicity induced by cigarette smoke (CS), cigarette smoke condensate (CSC) and benzo[a]pyrene (BP) in the Salmonella/microsome mutagenicity assay and the micronucleus test in mouse bone marrow. Sodium selenite, retinol acetate and alpha-tocopherol significantly decreased the mutagenic activity of CS in Salmonella typhimurium TA98. Ascorbic acid, reduced glutathione (GSH), cysteine, caffeine, theophylline, cobalt chloride, folic acid, adenine, adenosine, guanosine, cytidine and cytosine were conversely devoid of any significant effect. Sodium selenite slightly decreased the mutagenic activity of CSC in the same bacterial strain, while caffeine was ineffective and ascorbic acid potentiated its mutagenicity. Ascorbic acid inhibited the mutagenic activity of BP in S. typhimurium TA98, but not in TA100. Retinol acetate diminished the number of BP-induced his+ revertants in TA98 but only at the highest concentrations used, whereas alpha-tocopherol, GSH, cysteine, sodium selenite and caffeine had no effect. Selenite and GSH, which were ineffective when applied individually, inhibited in a dose-dependent manner the BP-induced mutagenesis in S. typhimurium TA98 when simultaneously added to the top agar. All other combinations tested, including selenite plus either GSH, cysteine or caffeine towards CS or CSC, or selenite plus cysteine, or selenite plus retinol acetate and alpha-tocopherol towards BP, failed to produce interactive effects. Sodium selenite and caffeine, given either alone or in combination in drinking water, did not influence the clastogenesis induced in mouse bone marrow by a single treatment with CS or BP. Ascorbic acid was also ineffective towards CS clastogenicity but significantly decreased the number of micronucleated polychromatic erythrocytes induced by BP.(ABSTRACT TRUNCATED AT 250 WORDS)",Is Ascorbic acid mutagenic for TA98 or TA100 strain?,False
204,"The mutagenic activity of captan and captafol was tested using Ames strains and strains showing an SOS response. Captafol was mutagenic in S. typhimurium strain TA102 (uvr+) and captan in strain TA104 (uvrB). Both captan and captafol elicit damages in DNA recognized by correndonuclease II, as shown by the repair test, and induced the SOS repair system in E. coli PQ37 (uvrA) strain. Only captafol induced the SOS system in PQ35 (uvr+). The lack of induction of beta-galactosidase at nonpermissive temperature in E. coli MD332 (dnaCs uvrA) strain showed that neither chemical was able to produce DNA breaks. In V79 Chinese hamster fibroblasts higher induction of c-mitosis by captafol than by captan (22% and 15% over the control, respectively) was accompanied by a higher decrease in nonprotein sulfhydryl groups, mainly GSH (41% and 77%, respectively). The content of protein sulfhydryl groups was decreased by either fungicide to a similar extent.",Is Captafol mutagenic for TA102 strain?,True
205,"The major DNA adduct (greater than 95% total) resulting from the bioactivation of ethylene dibromide by conjugation with GSH is S-(2-(N7-guanyl)ethyl)GSH. The mutagenic potential of this adduct has been uncertain, however, because the observed mutagenicity might be caused by other adducts present at much lower levels, e.g. S-(2-N1-adenyl)ethyl)GSH. To assess the formation of other potential adducts, S-(2-(N3-deoxycytidyl)ethyl)GSH, S-(2-(O6-deoxyguanosyl)ethyl)GSH, and S-(2-(N2-deoxyguanosyl)ethyl)GSH were prepared and used as standards in the analysis of calf thymus DNA modified by treatment with [1,2-14C]ethylene dibromide and GSH in the presence of rat liver cytosol; only minor amounts (less than 0.2%) were found. A forward mutation assay in (repair-deficient) Salmonella typhimurium TA100 and sequence analysis were utilized to determine the type, site, and frequency of mutations in a portion of the lacZ gene resulting from in vitro modification of bacteriophage M13mp18 DNA with S-(2-chloroethyl)GSH, an analog of the ethylene dibromide-GSH conjugate. An adduct level of approximately 8 nmol (mg DNA)-1 resulted in a 10-fold increase in mutation frequency relative to the spontaneous level. The spectrum of spontaneous mutations was quite varied, but the spectrum of S-(2-chloroethyl)GSH-induced mutations consisted primarily of base substitutions of which G:C to A:T transitions accounted for 75% (70% of the total mutations). All available evidence implicates S-(2-(N7-guanyl)ethyl)GSH as the cause of these mutations inasmuch as the levels of the minor adducts are not consistent with the mutation frequency observed in this system. The sequence selectivity of alkylation was determined by treatment of end-labeled lac DNA fragments with S-(2-chloroethyl)GSH, cleavage of the DNA at adduct sites, and electrophoretic analysis. Comparison of the sequence selectivity with the mutation spectrum revealed no obligate relationship between the extent of adduct formation and the number of mutations which resulted at different sites. We suggest that the mechanism of mutagenesis involves DNA sequence-dependent alterations in the interaction of the polymerase with the (modified) template and incoming nucleotide.",Is GSH mutagenic for TA100 strain?,True
206,"The mutagenic activities of several structurally related dibromo compounds were compared in Salmonella strains sensitive to base substitution mutagenesis (TA1535 and/or TA100) and in the glutathione (GSH)-deficient derivative TA100/NG-57, using a preincubation procedure. The compounds tested were 1,2-dibromoethane (DBE), 1,2-dibromopropane (DBP), 1,2-dibromo-1-phenylethane (DBPE) and model compounds for the half-mustards resulting from their conjugation with GSH, i.e. the N-acetyl-S-2-bromoalkyl-L-cysteine methyl esters SBE, SBP, and SBPE, respectively. The alkylating potential of all compounds was assayed with the 4-(p-nitrobenzyl)pyridine (NBP) alkylation test. Five of the compounds showed a good correlation between relative mutagenic activity in TA100 and electrophilic reactivity in the NBP-test, the order of decreasing potency being SBE greater than SBP greater than DBPE greater than DBP. SBPE displayed the highest reactivity in the NBP-test, but was devoid of mutagenic activity. The mutagenic activity of DBE was substantially decreased in the GSH-deficient strain TA100/NG-57 and could be restored by pretreating the cells with GSH. None of the other chemicals showed different mutagenic activities in TA100 and TA100/NG-57. From the results it can be concluded that 2-bromothioethers possess higher alkylating activities than the 1,2-dibromo compounds. Methyl substitution has a deactivating effect on the mutagenic activity. The results with the phenyl-substituted analogue, DBPE, show that a higher alkylating activity does not always lead to a higher mutagenic activity.","Is 1,2-dibromopropane mutagenic for TA100 or TA1535 strain?",True
207,"The effects of glutathione (GSH) and the combination of GSH and glutathione-S-transferase (GST) on aflatoxin B1 (AFB1) mutagenesis in the Salmonella mutagenicity assay using Salmonella typhimurium strains TA98 and TA100 were tested. Ten concentrations of AFB1 (0-1.0 micrograms/plate) were added to a liver microsomal homogenate (S9 mix) or to S9 mix containing GSH or S9 mix containing the combination of GSH + GST. One-third of the samples were plated directly. Two-thirds were incubated for 30 min at 37 degrees C prior to plating, and of those, half included bacteria. All samples were plated according to Ames et al [1975]. The results show that the addition of GSH and GSH + GST affected AFB1 mutagenesis by forming the AFB1-GSH conjugate and decreasing the availability of AFB1-8,9-epoxide. The effect of GST on GSH activity varied with the strain because of the different amounts of S9 mix used. The formation of the AFB1-GSH conjugate was verified by using reverse-phase high-performance liquid chromatography for quantitation of AFB1 and detection of AFB1-GSH.",Is GSH mutagenic for TA98 or TA100 strain?,True
208,"Several mutants with decreased levels of reduced glutathione (GSH) were isolated from the sensitive mutagen tester strain Salmonella typhimurium TA100 after treatment with u.v. and selection for resistance to N-ethyl-N'-nitro-N-nitrosoguanidine (ENNG) and its methyl analogue MNNG. Estimation of the GSH concentration and GSH S-transferase activity in extracts of these strains and of TA100 indicates that the GSH- derivatives contain 10-30% of the GSH level found in TA100, and that they exhibit normal GSH S-transferase activity. The mutagenic activities of 7 chemicals, namely, MNNG, ENNG, 1,2-dibromoethane (DBE), 1-chloro-2,4-dinitrobenzene (CDNB), styrene-7,8-oxide (STOX), N-ethyl-N-nitrosourea (ENU) and methyl methane sulphonate (MMS) were compared in TA100 and in one representative GSH- strain, denominated NG-57. MNNG, ENNG, DBE and CDNB are potent to extremely potent mutagens in TA100, but induce very low levels of His+ mutants in NG-57. Pretreatment of NG-57 with 1 mM GSH (partially) restores the mutant yields to the levels usually found in TA100. The mutagenic activities of STOX, ENU and MMS are similar in both strains. These results support some previous findings, namely that ENNG, MNNG and DBE, but not ENU are activated to mutagens inside the test bacteria, and also suggest that CDNB is activated by bacterial GSH. The latter finding is in contrast with the current view that CDNB is detoxified by GSH, as is also presently evidenced by a strong reduction of the compound's mutagenicity in the presence of extracts of rat liver, which contains GSH and GSH S-transferase activity. The results with STOX indicate that GSH plays in bacteria a much less important role in the detoxification of xenobiotics than in mammalian tissue, presumably due to a much lower GSH S-transferase activity in the first organism.",Is ENNG mutagenic for TA100 strain?,True
209,"The Z(cis)- and E(trans)-isomers of 1,3-dichloropropene (DCP), in confirmation of previous reports, caused dose-dependent increases in the numbers of reverse mutations in Salmonella typhimurium TA100 in the presence and absence of a 9000 X g supernatant fraction (S9) from the livers of Aroclor-treated rats. The relevance of these findings to mammals is uncertain, not least because of major differences in the metabolism of the DCPs in the microbial assay systems and in vivo. For example, (Z)-DCP is efficiently detoxified in mammals by the operation of a glutathione (GSH)-dependent S-alkyl transferase. It is possible that such detoxification could proceed only very slowly in the microbial assays because the concentrations of GSH could be severely rate-limiting even in those assays fortified by the addition of S9. The results obtained in the current study demonstrate a dramatic reduction in the microbial mutagenicity of both (Z)- and (E)-DCP when the concentration of GSH in the microbial assays was adjusted to a normal physiological concentration (5 mM). However, this protective action of GSH was at least as effective in the absence of S9 as in its presence, suggesting that it was not mediated by mammalian GSH transferase. There appears to be little or no GSH alkyl or aryl transferase in the cytosol of S. typhimurium TA100, but intracellular GSH is present at a concentration similar to that found in mammalian cells. Since the uncatalysed reaction between the DCPs and glutathione is relatively slow, the effect is not due simply to their destruction by GSH. It is possible that a physiological concentration of extracellular GSH maintains the intracellular GSH in a reduced form in which its nucleophilic thiol group competes effectively with the nucleophilic centres in the bacterial DNA for the haloalkenes. The current results highlight the efficiency of GSH-linked systems in affording protection against the genotoxic action of the DCPs. It may be presumed that their operation would exert a major limiting effect on the genotoxicity of (Z)- and (E)-DCP in mammals.","Is 1,3-dichloropropene mutagenic for TA100 strain?",True
210,"N-Acetylcysteine (NAC), reduced (GSH) and oxidized (GSSG) glutathione were negative in the Ames test with 7 Salmonella strains, while L-cysteine was activated by rat liver S-9 fractions to metabolites mutagenic to strains TA102, TA97 and TA100. The mutagenic response in S. typhimurium strains (TA1535, TA98, TA100, TA102) and the levels of enzyme activities, responsible for NADP+ or GSSG reduction and for the utilization of NADPH or GSH in rat liver S-9 fractions, were investigated following in vitro preincubation of NAC with four direct-acting mutagens and six procarcinogens. Treatment with this nucleophilic and reducing compound resulted in a dose-related decrease of the direct mutagenicity of epichlorohydrin, hydrogen peroxide and, sharply, of 4-nitroquinolino-N-oxide and sodium dichromate. The mutagenicity of these compounds, both in the absence and in the presence of NAC, was decreased by rat liver S-9 fractions and to some extent by lung S-9 fractions. A diphasic effect was observed in the case of procarcinogens (cyclophosphamide, 2-aminofluorene, cigarette smoke condensate, Trp-P-2, aflatoxin B1 and benzo[a]pyrene), i.e., an enhancement of S-9 requiring mutagenicity at intermediate NAC doses, which could be ascribed to metabolic factors acting in vitro, and a loss of mutagenicity at high NAC doses, which could be ascribed to trapping of electrophilic metabolites. Out of the five S-9 enzyme activities under study, i.e., glucose-6-phosphate dehydrogenase, 6-phosphogluconate dehydrogenase, malic enzyme, GSH peroxidase and GSSG reductase, only the last one showed significant changes following mutagen and/or NAC treatment.",Is GSH mutagenic for TA98 or TA100 or TA1535 or TA102 strain?,False
211,"The mutagenic and carcinogenic aromatic amine, benzidine (BZ), underwent extensive biotransformation in the rat. Three days after po (5.0 mg/kg) or iv (2.5 mg/kg administration of [14C]BZ, 90% of the radiolabel had been excreted in the urine (25%) and feces (65%); 7% was recovered in the animal. As the dose was increased from 0.5 to 50 mg/kg, the percentage of the dose excreted in urine increased twofold. In distribution studies, a major portion of the iv dose accumulated in the intestinal tract due to the excretion of 71% of the administered radiolabel in bile. The liver, which is a primary target organ of BZ carcinogenicity in rats, contained a higher concentration of radiolabel than other tissues studied. A minimum of 17 urinary and/or biliary metabolites were separated by HPLC. The major metabolites were N-acetyl-BZ(ABZ), N,N'-diacetyl-BZ(DABZ), BZ-N-glucuronide, ABZ-glucuronide, N-OH-DABZ glucuronide, 3-OH-DABZ glucuronide, and a glutathione conjugate of DABZ (3-GSH-DABZ). At low doses (0.5 to 5 mg/kg), 3-OH-DABZ glucuronide, 3-GSH-DABZ, and DABZ were the major urinary or biliary metabolites. However, at higher doses (50 mg/kg), N-OH-DABZ glucuronide, which was a minor metabolite at low doses, became a major urinary and biliary metabolite. Several urinary and biliary metabolites displayed significant mutagenicity in the Salmonella typhimurium (strain TA98)-liver S9-beta-glucuronidase assay. However, N-OH-DABZ glucuronide exhibited a mutagenic potency 10X greater than the other urinary metabolites. Results of these studies demonstrate that BZ is rapidly metabolized via N-acetylation, N-hydroxylation, and aromatic hydroxylation to a variety of mutagenic metabolites which are excreted in urine or bile primarily as glucuronide and/or glutathione conjugates. The most potent mutagen studied was also a major urinary and biliary metabolite.",Is N-OH-DABZ glucuronide mutagenic for TA98 strain?,True
212,"Levels of the tripeptide glutathione (GSH) and the activity of glutathione S-transferases were investigated in S9 fractions of rats and mice and in Salmonella typhymurium tester strains TA1535, TA100, TA1538 and TA98. The S9 and Salmonella typhimurium tester strains had high levels of glutathione. Compared with S9, the activity of GSH S-transferases was lower in the bacteria. However, electrophiles such as 1-chloro-2,4-dinitrobenzene (CDNB), diethyl maleate and styrene oxide were effectively bound to bacterial GSH. The mutagenicity of the direct mutagen CDNB was drastically lowered in presence of S9 fractions but not in presence of microsomes. A comparable decrease was obtained when microsomal supernatant, which contains GSH and GSH S-transferases, was added to the microsomes. Addition of GSH in excess completely abolished mutagenicity of CDNB. These results demonstrate that the conjugation of electrophiles with GSH mediated by the S9 fraction or the bacterial tester strains represents an important detoxication mechanism which may influence the results obtained with the Salmonella typhimurium mammalian-microsome mutagenicity test.",Is GSH mutagenic for TA98 or TA100 or TA1535 strain?,False
213,"Recently we have shown that Salmonella typhimurium tester strains have high levels of the tripeptide glutathione (GSH) and activity of GSH S-transferases (Summer et al., 1979). In continuation of the GSH-dependent suppression of mutagenicity of 1-chloro-2,4-dinitrobenzene in presence of S9 fraction (Summer et al., 1979), this paper is focused on the GSH-dependent detoxifying capacity of the bacterial tester strains. 1-Fluoro-2,4-dinitrobenzene (FDNB), an electrophilic agent, which is used to identify terminal amino acids in proteins (Sanger reagent), readily reacts with GSH leading to a dose-dependent  depletion of bacterial GSH. Additionally, FDNB is a strong mutagen for Salmonella typhimurium TA100, TA1538, and TA98 without metabolic activation. Presumably owing to conjugation with bacterial GHS, FDNB in concentrations which were lower or equal to those of bacterial GSH were found to be not mutagenic. Accordingly, increasing amounts of bacteria in the test system require increasing amounts of FDNB for expression of mutagenicity.",Is GSH mutagenic for TA98 or TA100 strain?,False
214,"Monochloramine has been suggested as an alternative disinfectant to chlorine to reduce levels of trihalomethanes in treated drinking water, but little is known of the toxicological properties and potential health implications of by-products specific to the chloramination process. Model aqueous fulvic acid solutions (200-400 mg C/liter), serving as surrogates for humic surface waters, were chloraminated over a range of molar Cl:C ratios from 1:40 to 1:2. The resulting by-products were extracted into diethyl ether at pH 2 and investigated with the Ames plate incorporation assay. Extractable mutagenicity increased with increasing chlorine and carbon dose up to about 30,000 revertants/liter at Cl:C ratios of 1:2. Mutagenicity was higher in Salmonella typhimurium strain TA100 than in strain TA98, and was decreased in the presence of S9, indicating that the mutagens formed were direct-acting and induced predominantly base-pair substitutions. Bovine serum albumin decreased slightly, and glutathione reduced greatly, the mutagenic activity detected in extracts. HPLC fractionation of the by-products indicated that most of the mutagenic activity was found in the earliest-eluting (most polar) fraction. The mutagenic by-products appeared to be qualitatively similar to 3-chloro-4-dichloromethyl-5-hydroxy-2-(5H)-furanone (MX) in their chromatographic behavior and responses to glutathione and bovine serum albumin, but were less readily detoxified by S9 than was MX.",Is glutathione mutagenic for TA98 or TA100 strain?,False
215,"Chemoprevention is an important alternative approach to control cancer. Chemical substances with multiple inhibitory properties would be a welcome addition to the class of chemopreventive drugs. In this study, we investigated the antioxidant, anti-inflammatory, antimutagenic and cancer preventive activities of aqueous extract of a macrofungus Phellinus rimosus (Berk) Pilat. The extract exhibited superoxide anion (O2-), hydroxyl radical (*OH), nitric oxide (NO*) scavenging and lipid peroxidation inhibiting activities. The inhibitory concentrations required by the extract to scavenge 50% (IC50) of the superoxide anion, hydroxyl radical and nitric oxide generated were 126 +/- 5.1, 71 +/- 4.7 and 31 +/- 4.5 microg/ml respectively. The concentration required to inhibit 50% of Fe2+ induced lipid peroxidation in rat liver homogenate was 318 +/- 2.4 microg/ml. The extract showed significant (P<0.05) anti-inflammatory activity in a dose dependent manner. Extract (100 mg/kg body wt, p.o) inhibited 44.5, 45.4 and 47% carrageenen, dextran and formalin induced inflammations respectively. The antimutagenic activity was determined by the Ames' Salmonella mutagenecity assay using histidine mutant Salmonella typhimurium strains. The extract at concentration of 5 mg/plate showed antimutagenecity against benzo[a]pyrene (B[a]P) and 4-nitro-o-pheneylenediamine (NPDA) induced mutations of TA98 and TA100 respectively. Anticarcinogenic activity was evaluated using N-nitrosodiethylamine (NDEA) induced hepatocellular carcinoma (HCC) in rats. Serum gamma glutamyl transpeptidase (GGT), glutamate oxaloacetate transaminase (GOT), glutamate pyruvate transaminase (GPT) and alkaline phosphatase (ALP) activities and lipid peroxidation level (MDA) were elevated significantly (P<0.05) in the NDEA alone treated group of animals. Treatment of the extract (25 and 50 mg/kg body wt, p.o.) prior to the NDEA administration decreased the serum GGT, GOT, GPT and ALP activities and MDA level in a dose dependent manner. The NDEA alone treated animals showed altered serum albumin/globulin ratio (A:G ratio), hyperfibrinogenaemia, increased hepatic glutathione S-transferase (GST) activity, glutathione-peroxidsae (GPx) activity and reduced glutathione (GSH) level compared to the extract plus NDEA treated group. The extract also inhibited in vitro aniline hydroxylase (AH) activity of rat liver induced by phenobarbitone in a dose dependent manner. The results, thus suggest the significant chemopreventive properties of the aqueous extract of the Phellinus rimosus against NDEA induced hepatocellular carcinoma by its antioxidant, anti-inflammatory and antimutagenic activities.",Is Phellinus rimosus mutagenic for TA98 or TA100 strain?,False
216,"The antimutagenic activity of the methanolic extract of the fruiting bodies of Ganoderma lucidum (Fr.) P. Krast. occurring in South India was investigated. The activity was assayed by Ames Salmonella mutagenicity test using histidine mutants of Salmonella typhimurium tester strains, TA98, TA100 and TA102. The methanolic extract of the mushroom significantly inhibited (P<0.001) the in vitro sodium azide (NaN(3)), N-methyl-N'-nitro-N-nitrosoguanidine (MNNG) and 4-nitro-o-phenylenediamine (NPD), and benzo[a]pyrene (B[a]P) induced his(+) revertants in a dose dependent manner. In vivo antimutagenic activity of extract was also assayed by determining the mutagenicity of the urine of rats administrated with B[a]P as a mutagen. The prior administration of extract markedly inhibited mutagenicity induced by B[a]P. The results indicated that the methanolic extract of Ganoderma lucidum occurring in South India possessed significant antimutagenic activity. The effect of B[a]P on hepatic enzymes, such as serum glutamate oxaloacetate transaminase (GOT), glutamate pyruvate transaminase (GPT) and alkaline phosphtase (ALP), were also evaluated. The extract prevented the increase of SGOT, SGPT, and ALP activities consequent to B[a]P challenge, and enhanced the levels of reduced glutathione (GSH) and activities of glutathione peroxidase (GPx), glutathione-S-transferase (GST), superoxide dismutase (SOD), and catalase (CAT). The extract also profoundly inhibited lipid peroxidation induced by B[a]P. The results revealed that Ganoderma lucidum extract restored antioxidant defense and prevented hepatic damage consequent to the challenge by B[a]P.",Is Ganoderma lucidum mutagenic for TA98 or TA100 or TA102 strain?,False
217,"S-nitrosoglutathine (GSNO) and reduced glutathione (GSH) were tested for mutagenicity against strain Salmonella typhimurium TA1535 in the Ames Standard plate incorporation assay. Neither GSNO not GSH were mutagenic when tested alone. In combination, the GSNO/GSH system induced a positive mutagenic response that ranged from 3 to 20 x over background at concentrations of 10 to 50 micromol (micromol)per plate, respectively. This mutagenic response can be attributable to the generation nitric oxide, among the many other reactive products generated by the reaction of GSNO with GSH.",Is reduced glutathione mutagenic for TA1535 strain?,False
218,"Several mutants with decreased levels of reduced glutathione (GSH) were isolated from the sensitive mutagen tester strain Salmonella typhimurium TA100 after treatment with u.v. and selection for resistance to N-ethyl-N'-nitro-N-nitrosoguanidine (ENNG) and its methyl analogue MNNG. Estimation of the GSH concentration and GSH S-transferase activity in extracts of these strains and of TA100 indicates that the GSH- derivatives contain 10-30% of the GSH level found in TA100, and that they exhibit normal GSH S-transferase activity. The mutagenic activities of 7 chemicals, namely, MNNG, ENNG, 1,2-dibromoethane (DBE), 1-chloro-2,4-dinitrobenzene (CDNB), styrene-7,8-oxide (STOX), N-ethyl-N-nitrosourea (ENU) and methyl methane sulphonate (MMS) were compared in TA100 and in one representative GSH- strain, denominated NG-57. MNNG, ENNG, DBE and CDNB are potent to extremely potent mutagens in TA100, but induce very low levels of His+ mutants in NG-57. Pretreatment of NG-57 with 1 mM GSH (partially) restores the mutant yields to the levels usually found in TA100. The mutagenic activities of STOX, ENU and MMS are similar in both strains. These results support some previous findings, namely that ENNG, MNNG and DBE, but not ENU are activated to mutagens inside the test bacteria, and also suggest that CDNB is activated by bacterial GSH. The latter finding is in contrast with the current view that CDNB is detoxified by GSH, as is also presently evidenced by a strong reduction of the compound's mutagenicity in the presence of extracts of rat liver, which contains GSH and GSH S-transferase activity. The results with STOX indicate that GSH plays in bacteria a much less important role in the detoxification of xenobiotics than in mammalian tissue, presumably due to a much lower GSH S-transferase activity in the first organism.",Is reduced glutathione mutagenic for TA100 strain?,False
219,"Recently, mutagenic activity on several strains of Salmonella typhimurium has been found in many heat-processed foodstuffs. The previously reported direct-acting mutagenic activity of coffee in Salmonella typhimurium TA100 (Ames assay) was confirmed in our study. In addition to TA100, a mutagenic effect of coffee was also found by using the newly developed strain TA102. The mutagenic activity was abolished by the addition of rat-liver homogenate. 10% S9 mix completely eliminated the mutagenic activity of 30 mg of coffee per plate. The addition of reduced glutathione to active S9 further decreased the mutagenic activity and also reduced the mutagenicity together with inactivated S9. The compound or compounds responsible for this inactivation are heat-labile and seem to be located in the cytosol fraction of the S9. Part of the mutagenicity of coffee was also lost spontaneously upon incubation at temperatures between 0 degrees and 50 degrees C. The loss of activity was dependent on temperature, being more pronounced at 50 degrees C compared to 0 degrees C (at 50 degrees C approximately 50% of the mutagenic activity was lost after 6 h). As anaerobic conditions prevented this loss of mutagenicity almost totally, oxidative processes are probably responsible for the inactivation. The stability of the mutagen was not influenced by incubation at low pH values (pH 1-3), with or without the addition of pepsinogen. The mutagenic properties of methylglyoxal, which to some extent could be responsible for the mutagenic activity of coffee, were compared with those of coffee. Methylglyoxal was strongly mutagenic towards Salmonella typhimurium TA100 and TA102. Its mutagenic activity was partially inactivated by the addition of 10% S9. Glyoxalase I and II together with reduced glutathione abolished the mutagenic activity of methylglyoxal but reduced the mutagenicity of coffee by only 80%. Since these enzymes occur in mammalian cells, the mutagenic compound(s) of coffee could also be degraded in vivo. This conclusion is supported by the fact that a long-term carcinogenicity study with rats was negative. These results clearly demonstrate that the effects observed in vitro do not necessarily also occur in vivo, but that in vitro experiments may contribute to the understanding of fundamental mechanisms of chemical carcinogenesis.",Is reduced glutathione mutagenic for TA100 or TA102 strain?,False
220,"Pyranocoumarins are compounds with an important pharmacological profile, such as anti-inflammatory, antioxidant, cytotoxic, antiviral, antibacterial, and hypoglycemic effects. These molecules have a widespread presence as secondary metabolites in medicinal plants used to treat Diabetes Mellitus (DM). The aim of this work was to evaluate antidiabetic activity in Streptozotocin (STZ)-induced diabetic rats and the antioxidant effects of 3',4'-Di-O-acetyl-cis-khellactone (DOAcK), as well as its toxic potential. We obtained DOAcK with an enantiomeric excess of 70% by chemical synthesis. Our results showed that this compound exerts an important antidiabetic effect: blood glucose decreased in groups treated with DOAcK by 60.9% at dose of 15mg/kg (p<0.05) compared with the diabetic control group, and demonstrated a statistically significant increase in weight gain (45.7±9.7 in the group treated with DOAcK vs. -23.0±33.1 in the group with diabetes). In a biochemical profile, DOAcK did not modify lipid metabolism and did not cause damage at the renal level. DOAcK administration increased the activities of Catalase (CAT), Glutathione Peroxidase (GPx), and Super Oxide Dismutase (SOD) to levels near those of the healthy group. Histopathological analysis exhibited morphology similar to that of the healthy group and the group treated with DOAcK. DOAcK is not mutagenic by Ames test for Salmonella typhimurium strains TA98, TA100, or TA102, and is not genotoxic by Micronucleus assay; median lethal dose (LD50) >2000mg/kg and, at this dose, no signs of toxicity or death were reported after 14days of observation. These results indicate that DOAcK can improve glucose metabolism, which may be due to the increased antioxidant activity of CAT, GPx and SOD. In addition, DOAcK is not toxic in the studies tested.",Is DOAcK mutagenic for TA98 or TA100 or TA102 strain?,False
221,"Glutathione is activated to a mutagen by gamma-glutamyl transpeptidase. Other thiols, such as cysteine, penicillamine, cysteine ethylester, and cysteinylglycine, are direct mutagens in the Ames Salmonella mutagenicity test. Thiol mutagenesis is oxidative in nature and involves H2O2 and possibly hydroxyl radicals. Transition metals are crucial for thiol autoxidation. The role of copper and ceruloplasmin (CP) in thiol-dependent mutagenesis was studied in Salmonella typhimurium strain TA102. Cu and CP at low concentrations enhanced thiol-dependent mutagenesis in the presence, but not in the absence, of added Fe. The degree of enhancement depended on the type of thiol. At high Cu or CP concentrations, thiol mutagenesis was inhibited. Cu also decreased the mutagenicity of H2O2. Cu- and CP-enhanced mutagenesis were inhibited by radical scavengers, catalase, and peroxidase but not by superoxide dismutase. The effects of Cu and CP on thiol-dependent mutagenesis were similar to their effects on thiol-driven lipid peroxidation. The results indicate that the role of Cu and CP in the enhancement of thiol mutagenesis is the facilitation of the transfer of electrons from a thiol to iron, rather than in catalysis of the Fenton reaction.",Is penicillamine mutagenic for TA102 strain?,True
222,"1. Rat liver 9,000 g supernatant protected against the mutagenic effect of chlorinated hydrophilic macromolecular humic acids (CHMA) in Salmonella typhimurium strain TA100. 2. Protection against mutagenicity of CHMA was mediated by glutathione and was partially dependent on glutathione S-transferase activity. 3. In contrast to the above findings, CHMA showed lower mutagenicity in Salmonella typhimurium and Escherichia coli strains of bacteria that are deficient in glutathione compared to their mutagenicity in parental (glutathione-rich) bacterial strains. 4. Glutathione-deficient cells do not provide test systems with elevated sensitivity for the detection of mutagenic chlorinated humic substances.",Is CHMA mutagenic for TA100 strain?,False
